Date;Dernier
20/01/2014;1657.11
21/01/2014;1659.49
22/01/2014;1661.74
23/01/2014;1650.45
24/01/2014;1618.36
27/01/2014;1604.92
28/01/2014;1611.35
29/01/2014;1603.67
30/01/2014;1607.46
31/01/2014;1598.46
03/02/2014;1571.92
04/02/2014;1569.93
05/02/2014;1572.37
06/02/2014;1592.69
07/02/2014;1611.78
10/02/2014;1616.78
11/02/2014;1634.47
12/02/2014;1637.71
13/02/2014;1643.19
14/02/2014;1650.12
17/02/2014;1653.55
18/02/2014;1660.54
19/02/2014;1655.04
20/02/2014;1656.01
21/02/2014;1659.85
24/02/2014;1668.31
25/02/2014;1669.41
26/02/2014;1664.85
27/02/2014;1668.4
28/02/2014;1675.4
03/03/2014;1655.42
04/03/2014;1677.85
05/03/2014;1679.06
06/03/2014;1686.11
07/03/2014;1681.17
10/03/2014;1676.53
11/03/2014;1672.19
12/03/2014;1665.55
13/03/2014;1651.68
14/03/2014;1641.13
17/03/2014;1653.94
18/03/2014;1665.49
19/03/2014;1658.05
20/03/2014;1654.32
21/03/2014;1653.38
24/03/2014;1645.97
25/03/2014;1655.69
26/03/2014;1654.34
27/03/2014;1653.12
28/03/2014;1661.84
31/03/2014;1673.87
01/04/2014;1683.7
02/04/2014;1687.46
03/04/2014;1685.14
04/04/2014;1676.25
07/04/2014;1659.29
08/04/2014;1663.77
09/04/2014;1675.32
10/04/2014;1656.09
11/04/2014;1638.43
14/04/2014;1644.36
15/04/2014;1646.67
16/04/2014;1664.85
17/04/2014;1669.81
18/04/2014;1670.6
21/04/2014;1672.4
22/04/2014;1681.98
23/04/2014;1679.25
24/04/2014;1681.16
25/04/2014;1670.76
28/04/2014;1672.65
29/04/2014;1682.38
30/04/2014;1687.74
01/05/2014;1690.39
02/05/2014;1688.99
05/05/2014;1689.77
06/05/2014;1683.52
07/05/2014;1684.04
08/05/2014;1686.79
09/05/2014;1683.36
12/05/2014;1694.88
13/05/2014;1697.99
14/05/2014;1694.8
15/05/2014;1682.34
16/05/2014;1683.69
19/05/2014;1685.88
20/05/2014;1678.01
21/05/2014;1686.51
22/05/2014;1692.36
23/05/2014;1697.94
26/05/2014;1703.18
27/05/2014;1707.67
28/05/2014;1706.15
29/05/2014;1713.25
30/05/2014;1715.18
02/06/2014;1717.27
03/06/2014;1715.82
04/06/2014;1717.76
05/06/2014;1725.6
06/06/2014;1734.47
09/06/2014;1735.98
10/06/2014;1735.32
11/06/2014;1731.2
12/06/2014;1725.49
13/06/2014;1727.21
16/06/2014;1726.99
17/06/2014;1728.74
18/06/2014;1737.77
19/06/2014;1748.41
20/06/2014;1747.43
23/06/2014;1746.29
24/06/2014;1737.82
25/06/2014;1738.16
26/06/2014;1737.27
27/06/2014;1740.86
30/06/2014;1743.42
01/07/2014;1754.76
02/07/2014;1756.96
03/07/2014;1764.12
04/07/2014;1763.44
07/07/2014;1754.8
08/07/2014;1741.64
09/07/2014;1746.05
10/07/2014;1734.48
11/07/2014;1736
14/07/2014;1747.03
15/07/2014;1741.43
16/07/2014;1751.49
17/07/2014;1735.09
18/07/2014;1744.29
21/07/2014;1740.1
22/07/2014;1750.75
23/07/2014;1754.1
24/07/2014;1756.25
25/07/2014;1748.23
28/07/2014;1748.23
29/07/2014;1744.2
30/07/2014;1740.19
31/07/2014;1714.33
01/08/2014;1705.73
04/08/2014;1710.14
05/08/2014;1698.22
06/08/2014;1693.13
07/08/2014;1684.71
