Maturite;spot_2015;up_2015;down_2015;spot_2016;up_2016;down_2016;spot_2017;up_2017;down_2017;spot_2018;up_2018;down_2018
88;0,03434;0,04434;0,02738;0,03315;0,04315;0,02643;0,03387;0,04387;0,02701;0,03254;0,04254;0,02595
89;0,03442;0,04442;0,02749;0,03325;0,04325;0,02656;0,03396;0,04396;0,02712;0,03263;0,04263;0,02606
90;0,03451;0,04451;0,02761;0,03334;0,04334;0,02667;0,03405;0,04405;0,02724;0,03271;0,04271;0,02617
91;0,03459;0,04459;0,02767;0,03344;0,04344;0,02675;0,03414;0,04414;0,02731;0,0328;0,0428;0,02624
92;0,03467;0,04467;0,02774;0,03353;0,04353;0,02682;0,03422;0,04422;0,02738;0,03288;0,04288;0,0263
93;0,03475;0,04475;0,0278;0,03362;0,04362;0,0269;0,0343;0,0443;0,02744;0,03296;0,04296;0,02637
94;0,03482;0,04482;0,02786;0,03371;0,04371;0,02697;0,03439;0,04439;0,02751;0,03304;0,04304;0,02643
95;0,0349;0,0449;0,02792;0,0338;0,0438;0,02704;0,03447;0,04447;0,02758;0,03312;0,04312;0,0265
96;0,03497;0,04497;0,02798;0,03388;0,04388;0,0271;0,03454;0,04454;0,02763;0,0332;0,0432;0,02656
97;0,03504;0,04504;0,02803;0,03397;0,04397;0,02718;0,03462;0,04462;0,0277;0,03327;0,04327;0,02662
98;0,03512;0,04512;0,0281;0,03405;0,04405;0,02724;0,0347;0,0447;0,02776;0,03335;0,04335;0,02668
99;0,03518;0,04518;0,02814;0,03413;0,04413;0,0273;0,03477;0,04477;0,02782;0,03342;0,04342;0,02674
100;0,03525;0,04525;0,0282;0,03421;0,04421;0,02737;0,03484;0,04484;0,02787;0,03349;0,04349;0,02679
101;0,03532;0,04532;0,02826;0,03428;0,04428;0,02742;0,03491;0,04491;0,02793;0,03356;0,04356;0,02685
102;0,03538;0,04538;0,0283;0,03436;0,04436;0,02749;0,03498;0,04498;0,02798;0,03363;0,04363;0,0269
103;0,03545;0,04545;0,02836;0,03443;0,04443;0,02754;0,03505;0,04505;0,02804;0,03369;0,04369;0,02695
104;0,03551;0,04551;0,02841;0,0345;0,0445;0,0276;0,03512;0,04512;0,0281;0,03376;0,04376;0,02701
105;0,03557;0,04557;0,02846;0,03458;0,04458;0,02766;0,03518;0,04518;0,02814;0,03382;0,04382;0,02706
106;0,03563;0,04563;0,0285;0,03465;0,04465;0,02772;0,03525;0,04525;0,0282;0,03388;0,04388;0,0271
107;0,03569;0,04569;0,02855;0,03471;0,04471;0,02777;0,03531;0,04531;0,02825;0,03395;0,04395;0,02716
108;0,03575;0,04575;0,0286;0,03478;0,04478;0,02782;0,03537;0,04537;0,0283;0,03401;0,04401;0,02721
109;0,03581;0,04581;0,02865;0,03485;0,04485;0,02788;0,03543;0,04543;0,02834;0,03407;0,04407;0,02726
110;0,03586;0,04586;0,02869;0,03491;0,04491;0,02793;0,03549;0,04549;0,02839;0,03412;0,04412;0,0273
111;0,03592;0,04592;0,02874;0,03498;0,04498;0,02798;0,03555;0,04555;0,02844;0,03418;0,04418;0,02734
112;0,03597;0,04597;0,02878;0,03504;0,04504;0,02803;0,03561;0,04561;0,02849;0,03424;0,04424;0,02739
113;0,03603;0,04603;0,02882;0,0351;0,0451;0,02808;0,03566;0,04566;0,02853;0,03429;0,04429;0,02743
114;0,03608;0,04608;0,02886;0,03516;0,04516;0,02813;0,03572;0,04572;0,02858;0,03435;0,04435;0,02748
115;0,03613;0,04613;0,0289;0,03522;0,04522;0,02818;0,03577;0,04577;0,02862;0,0344;0,0444;0,02752
116;0,03618;0,04618;0,02894;0,03528;0,04528;0,02822;0,03583;0,04583;0,02866;0,03445;0,04445;0,02756
